GEOID20,STATEFP,COUNTYFP,DISTRICT,G20PREDBID,G20PRERTRU,G20PRELJOR,G20PREGHAW,G20PRECBLA,G20PRESLAR,G20PREOHAM,G20PREOFUE,G20USSDBOO,G20USSRMEH,G20USSGHOF,G20USSOFER,G20USSOBUR
34037100002,34,037,100002,516.97,807.56,18.94,7.66,1.03,1.54,2.04,0.01,514.43,788.83,24.11,7.67,1.07
34037100003,34,037,100003,169.17,266.71,5.95,2.34,0.33,0.49,0.59,0.05,168.47,259.42,7.79,2.37,0.53
34037105001,34,037,105001,342,553,16,2,2,5,2,3,353,504,29,16,6
34037110001,34,037,110001,270.84,419.17,10.2,3,0.83,0.52,0.72,0.31,267.42,401.05,14.66,6.2,2.17
34037110002,34,037,110002,115.66,179.04,4.36,1.28,0.35,0.22,0.31,0.13,114.2,171.29,6.27,2.66,0.93
34037110003,34,037,110003,617.92,956.49,23.3,6.86,1.89,1.18,1.66,0.71,610.1,915.09,33.47,14.19,4.97
34037110004,34,037,110004,307.55,476.07,11.6,3.42,0.94,0.59,0.82,0.35,303.66,455.46,16.66,7.07,2.47
34037110005,34,037,110005,108.6,168.11,4.1,1.21,0.33,0.21,0.29,0.12,107.23,160.83,5.88,2.5,0.87
34037110006,34,037,110006,257.81,399.08,9.72,2.86,0.79,0.49,0.69,0.3,254.55,381.8,13.97,5.92,2.07
34037110007,34,037,110007,470.59,728.46,17.75,5.23,1.44,0.9,1.26,0.54,464.64,696.92,25.5,10.81,3.78
34037110008,34,037,110008,155.98,241.45,5.88,1.73,0.48,0.3,0.42,0.18,154.01,231,8.45,3.58,1.25
34037110009,34,037,110009,286.64,443.7,10.81,3.18,0.88,0.55,0.77,0.33,283.01,424.49,15.53,6.59,2.3
34037110010,34,037,110010,75.64,117.08,2.85,0.84,0.23,0.14,0.2,0.09,74.68,112.01,4.1,1.74,0.61
34037110011,34,037,110011,147.45,228.24,5.56,1.64,0.45,0.28,0.4,0.17,145.58,218.36,7.99,3.39,1.19
34037110012,34,037,110012,203.49,314.32,7.56,2.22,0.62,0.38,0.54,0.23,200.91,300.94,10.91,4.52,1.57
34037110013,34,037,110013,179.82,278.35,6.78,2,0.55,0.34,0.48,0.21,177.55,266.3,9.74,4.13,1.45
34037110014,34,037,110014,564.32,881.62,21.31,6.24,1.7,1.11,1.49,0.66,557.46,843.39,30.62,12.93,4.51
34037110015,34,037,110015,246.08,380.92,9.28,2.73,0.75,0.47,0.66,0.28,242.97,364.43,13.33,5.65,1.98
34037110016,34,037,110016,241.33,373.57,9.1,2.68,0.74,0.46,0.65,0.28,238.28,357.4,13.08,5.54,1.94
34037110017,34,037,110017,297.83,461.04,11.23,3.31,0.91,0.57,0.8,0.34,294.07,441.08,16.14,6.84,2.39
34037110018,34,037,110018,314.61,487,11.87,3.49,0.96,0.6,0.84,0.36,310.63,465.92,17.05,7.23,2.53
